Utt;;Intent 9
;;Finance-Monitoring
финмон;;Finance-Monitoring
финмон;;Finance-Monitoring
стаття на порталі з фінансового моніторингу;;Finance-Monitoring
статья на портале по финмону;;Finance-Monitoring
публичные лица;;PublicPerson
новости о просроченной идентификации;;Identification-Expired
раскрытие структуры;;Structures-Reveal
конечный бенефициар;;Beneficiaries-End
задачи сети по идентификации;;Identification-Network-Task
пеп;;PEP
ошибки пэп новость на портале;;PEP
задача сети по ошибкам ПЕП;;PEP
мотивация по пеп;;PEP
риск-триггеры;;Risk-Trigger
комплаенс-офицер;;Oficer.Compleance
ящик ЦЕО-ЭФЭМп;;Cio_FM-Box
Перловская Юлия Павловна;;Manager.Indicator
 Филоненко Олеся;;Manager.Indicator
Федчик Виктория;;Manager.Indicator
довідка про закриття рахунку;;Account-Close_Account-Statement
закрытие счета по карточным продуктам;;Account-Close_Account
закриття рахунку;;Account-Close_Account
зачисления на счет;;Account-Transfer
зачисление на карточный счет юрлица;;Card-Activity
зарахування коштів на картковий рахунок ;;Card-Activity
зачисление денежных средств на карточный счет;;Card-Activity
зачисление средств на счет;;Account-Transfer
перечисление на счет;;Account-Transfer
выдача с валютного счета;;CurrencyAccount-Withdraw
поповнення рахунку;;Account-Refill
снятие счета со статуса замороженный;;Account-UnFreeze
постановление счета на учет в налоговую;;Account-DPA-Registration
перевод через май альфа банк;;MyAlfaBank-Transfer
переказ через май альфа банк;;MyAlfaBank-Transfer
перевод через май альфа банк с карты на карту;;Card-Payment-Miscellaneous
переказ з картки на картку через май альфа банк;;Card-Payment-Miscellaneous
перевод с карты на карту через май альфа банк;;Card-Payment-Miscellaneous
переказ через май альфа банк з картки на картку;;Card-Payment-Miscellaneous
альфапей;;Alfapay
альфапей не працює ;;Alfapay
 альфапей не работает;;Alfapay
обработка обращений;;Application
обращение клиента по перечислению денег;;Client-Ask-FundsTransfer
обработка обращений на снятие наличных;;Cash-Withdraw-Application
курс снятия в банкомате;;ATM-Exchange-Rate
неуспешная операция в банкомате;;ATM-Operation-Unsuccessful
карта изьята банкоматом;;ATM-Withdraw-Card
банкомат не увидел карти;;ATM-Card-Problem
карта осталась в банкомате;;ATM-Withdraw-Card
баланс сегодня;;Balance-Inquiry-Today
